record_id,latitude,longitude,elevation_m,road_slope_percent,topographic_wetness_index,distance_to_lowest_point_m,distance_to_nearest_drain_m,underpass,historical_waterlogging_count,known_waterlogging_hotspot,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_intensity_mm_hr,waterlogging,waterlogging_severity
GWL_0016,28.43539,77.02842,211.9,6.73,10.04,522.9,36.1,1,26,1,75.0,135.0,180.0,240.0,90.0,1,3
GWL_0017,28.43445,77.02634,211.8,4.8,10.27,542.4,42.3,1,26,1,45.0,82.0,115.0,132.0,55.0,1,2
GWL_0018,28.43501,77.02768,211.4,7.48,10.48,472.6,60.1,1,26,1,45.0,82.0,115.0,132.0,55.0,1,2
GWL_0019,28.43442,77.02727,211.6,6.82,10.09,511.8,40.2,1,26,1,32.0,58.0,74.0,89.0,40.0,1,1
GWL_0020,28.43711,77.02591,211.4,9.09,10.82,479.3,54.8,1,26,1,62.0,118.0,155.0,185.0,75.0,1,3
GWL_0021,28.45939,77.03183,213.9,3.16,9.84,706.8,120.2,0,22,1,62.0,118.0,155.0,185.0,75.0,0,0
GWL_0022,28.45885,77.03328,214.5,3.13,9.48,758.2,112.5,0,22,1,40.0,72.0,98.0,115.0,48.0,0,0
GWL_0023,28.45828,77.0338,214.3,0.23,8.88,742.0,110.2,0,22,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0024,28.45828,77.03275,214.4,2.35,8.96,752.5,117.1,0,22,1,45.0,82.0,115.0,132.0,55.0,0,0
GWL_0025,28.45878,77.03334,214.3,3.0,9.44,738.2,112.8,0,22,1,40.0,72.0,98.0,115.0,48.0,0,0
GWL_0026,28.4589,77.0319,214.0,3.41,9.29,725.7,128.9,0,22,1,62.0,118.0,155.0,185.0,75.0,0,0
GWL_0027,28.46018,77.03261,214.3,1.83,8.98,744.4,118.4,0,22,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0028,28.45787,77.03304,213.9,3.3,9.89,718.1,121.1,0,22,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0029,28.45785,77.03388,214.1,3.39,9.82,732.6,118.8,0,22,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0030,28.45896,77.03365,214.1,0.76,9.42,735.9,130.9,0,22,1,40.0,72.0,98.0,115.0,48.0,0,0
GWL_0031,28.45951,77.03139,214.3,3.47,8.92,736.2,136.3,0,22,1,75.0,135.0,180.0,240.0,90.0,1,1
GWL_0032,28.45991,77.03218,214.0,2.87,9.71,724.7,137.4,0,22,1,62.0,118.0,155.0,185.0,75.0,0,0
GWL_0033,28.45933,77.0326,214.4,2.34,9.44,755.8,136.7,0,22,1,50.0,92.0,120.0,145.0,60.0,0,0
GWL_0034,28.45881,77.03223,213.9,2.11,8.98,700.1,126.3,0,22,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0035,28.45866,77.03287,213.8,0.32,9.8,687.4,113.8,0,22,1,70.0,125.0,160.0,218.0,85.0,0,0
GWL_0036,28.45937,77.03341,214.0,2.26,8.99,692.1,125.9,0,22,1,4.0,8.0,12.0,15.0,5.0,0,0
GWL_0037,28.45942,77.03301,214.4,3.42,9.26,736.9,133.9,0,22,1,6.0,11.0,14.0,18.0,7.0,0,0
GWL_0038,28.45861,77.03242,213.9,0.28,9.9,714.9,130.9,0,22,1,45.0,82.0,115.0,132.0,55.0,0,0
GWL_0039,28.45903,77.03162,213.9,1.03,9.49,710.1,129.8,0,22,1,4.0,8.0,12.0,15.0,5.0,0,0
GWL_0040,28.45864,77.03396,214.4,2.03,9.35,740.8,117.4,0,22,1,4.0,8.0,12.0,15.0,5.0,0,0
GWL_0041,28.47167,77.07337,215.6,4.25,8.3,860.2,96.1,1,24,1,58.0,105.0,142.0,168.0,70.0,1,2
GWL_0042,28.47207,77.07252,215.7,6.19,8.84,859.9,76.4,1,24,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0043,28.47172,77.07298,216.0,7.62,8.26,862.8,94.3,1,24,1,75.0,135.0,180.0,240.0,90.0,1,2
GWL_0044,28.47342,77.07283,215.9,6.52,8.69,889.2,86.6,1,24,1,28.0,52.0,85.0,110.0,35.0,0,0
GWL_0045,28.47348,77.07382,215.8,4.55,8.2,846.8,95.5,1,24,1,70.0,125.0,160.0,218.0,85.0,1,2
GWL_0046,28.47313,77.07117,216.3,4.65,8.68,910.7,101.3,1,24,1,58.0,105.0,142.0,168.0,70.0,1,1
GWL_0047,28.47145,77.07163,216.2,9.45,8.43,891.9,98.3,1,24,1,62.0,118.0,155.0,185.0,75.0,1,2
GWL_0048,28.47318,77.07239,216.2,4.57,8.92,897.2,99.8,1,24,1,4.0,8.0,12.0,15.0,5.0,0,0
GWL_0049,28.47156,77.07379,215.9,8.98,8.23,864.3,103.5,1,24,1,28.0,52.0,85.0,110.0,35.0,0,0
GWL_0050,28.47345,77.07282,216.1,5.61,8.39,895.4,97.6,1,24,1,32.0,58.0,74.0,89.0,40.0,0,0
GWL_0051,28.47297,77.07347,215.7,4.32,8.77,852.2,101.6,1,24,1,32.0,58.0,74.0,89.0,40.0,0,0
GWL_0052,28.47165,77.07145,215.7,7.4,8.32,837.9,96.0,1,24,1,75.0,135.0,180.0,240.0,90.0,1,2
GWL_0053,28.47272,77.07134,215.7,6.06,8.59,867.0,103.4,1,24,1,32.0,58.0,74.0,89.0,40.0,0,0
GWL_0054,28.47356,77.07336,215.9,8.27,8.7,868.5,102.2,1,24,1,28.0,52.0,85.0,110.0,35.0,0,0
GWL_0055,28.47093,77.07258,215.6,4.31,8.38,830.7,94.5,1,24,1,6.0,11.0,14.0,18.0,7.0,0,0
GWL_0056,28.47284,77.07285,216.4,5.57,8.81,902.9,103.9,1,24,1,28.0,52.0,85.0,110.0,35.0,0,0
GWL_0057,28.47064,77.07401,215.6,6.9,9.25,829.0,91.6,1,24,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0058,28.47351,77.07267,216.1,6.5,8.69,891.9,102.0,1,24,1,70.0,125.0,160.0,218.0,85.0,1,2
GWL_0059,28.47345,77.07377,216.0,5.53,8.29,878.5,85.6,1,24,1,4.0,8.0,12.0,15.0,5.0,0,0
GWL_0060,28.47235,77.07133,216.4,7.84,8.48,906.4,99.4,1,24,1,45.0,82.0,115.0,132.0,55.0,1,1
GWL_0061,28.46473,77.05907,215.5,7.37,8.72,854.8,166.0,1,19,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0062,28.46214,77.05668,215.0,9.43,8.65,798.8,151.4,1,19,1,50.0,92.0,120.0,145.0,60.0,1,1
GWL_0063,28.46451,77.05801,215.0,4.31,9.36,807.5,170.0,1,19,1,40.0,72.0,98.0,115.0,48.0,1,1
GWL_0064,28.46431,77.05943,215.4,6.48,8.47,847.2,158.2,1,19,1,32.0,58.0,74.0,89.0,40.0,0,0
GWL_0065,28.46269,77.05862,215.2,4.62,9.09,812.8,163.2,1,19,1,75.0,135.0,180.0,240.0,90.0,1,2
GWL_0066,28.46366,77.05828,215.4,4.74,8.37,839.2,158.6,1,19,1,32.0,58.0,74.0,89.0,40.0,0,0
GWL_0067,28.46411,77.05724,214.8,5.93,9.17,773.7,153.1,1,19,1,40.0,72.0,98.0,115.0,48.0,1,1
GWL_0068,28.46354,77.05895,215.0,8.74,9.45,780.9,167.8,1,19,1,70.0,125.0,160.0,218.0,85.0,1,2
GWL_0069,28.46338,77.05954,215.1,7.48,8.7,786.5,143.9,1,19,1,6.0,11.0,14.0,18.0,7.0,0,0
GWL_0070,28.46238,77.05706,214.8,5.0,8.93,793.9,154.2,1,19,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0071,28.464,77.05712,214.9,4.93,8.82,773.6,142.7,1,19,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0072,28.46236,77.05798,214.9,6.77,9.23,768.1,164.0,1,19,1,6.0,11.0,14.0,18.0,7.0,0,0
GWL_0073,28.46388,77.05685,215.4,4.34,8.62,841.2,162.4,1,19,1,28.0,52.0,85.0,110.0,35.0,0,0
GWL_0074,28.46255,77.05723,215.0,7.4,8.87,793.5,162.4,1,19,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0075,28.46211,77.05736,215.3,6.81,8.91,804.8,153.4,1,19,1,62.0,118.0,155.0,185.0,75.0,1,2
GWL_0076,28.46281,77.05773,214.7,5.16,8.95,754.3,166.7,1,19,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0077,28.46378,77.05864,215.3,4.48,8.92,824.0,162.4,1,19,1,32.0,58.0,74.0,89.0,40.0,0,0
GWL_0078,28.46329,77.05698,214.9,7.55,9.11,780.7,169.6,1,19,1,45.0,82.0,115.0,132.0,55.0,1,1
GWL_0079,28.46231,77.05706,214.9,5.03,8.83,773.4,166.9,1,19,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0080,28.46224,77.05817,215.0,4.62,8.9,813.8,166.0,1,19,1,62.0,118.0,155.0,185.0,75.0,1,2
GWL_0081,28.42741,77.04301,213.1,2.04,9.83,624.7,103.1,0,21,1,4.0,8.0,12.0,15.0,5.0,0,0
GWL_0082,28.42746,77.04197,212.7,1.88,9.66,584.1,98.3,0,21,1,70.0,125.0,160.0,218.0,85.0,1,1
GWL_0083,28.42736,77.04244,212.8,0.37,9.72,593.4,81.9,0,21,1,32.0,58.0,74.0,89.0,40.0,0,0
GWL_0084,28.42987,77.04197,213.0,1.04,9.98,635.4,97.9,0,21,1,6.0,11.0,14.0,18.0,7.0,0,0
GWL_0085,28.42831,77.04224,212.7,3.27,10.25,618.1,83.7,0,21,1,62.0,118.0,155.0,185.0,75.0,1,1
GWL_0086,28.42744,77.0412,213.0,2.1,10.14,610.6,103.9,0,21,1,6.0,11.0,14.0,18.0,7.0,0,0
GWL_0087,28.4275,77.04149,212.5,2.89,10.17,583.4,90.8,0,21,1,32.0,58.0,74.0,89.0,40.0,0,0
GWL_0088,28.42953,77.04218,213.1,1.65,9.64,632.0,89.0,0,21,1,75.0,135.0,180.0,240.0,90.0,1,1
GWL_0089,28.4276,77.0437,212.7,1.99,10.33,604.5,83.5,0,21,1,70.0,125.0,160.0,218.0,85.0,1,1
GWL_0090,28.4279,77.04142,213.0,2.25,9.83,640.8,103.7,0,21,1,50.0,92.0,120.0,145.0,60.0,0,0
GWL_0091,28.42736,77.04194,212.6,2.66,9.49,593.8,102.9,0,21,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0092,28.42953,77.04203,213.1,0.57,10.11,618.6,91.9,0,21,1,6.0,11.0,14.0,18.0,7.0,0,0
GWL_0093,28.42929,77.04145,212.6,2.58,10.18,596.6,100.8,0,21,1,28.0,52.0,85.0,110.0,35.0,0,0
GWL_0094,28.42853,77.04176,212.7,0.8,10.33,602.8,92.0,0,21,1,58.0,105.0,142.0,168.0,70.0,0,0
GWL_0095,28.42829,77.04384,212.5,2.13,10.01,587.0,80.5,0,21,1,28.0,52.0,85.0,110.0,35.0,0,0
GWL_0096,28.42952,77.0438,212.9,2.5,10.26,624.8,84.6,0,21,1,28.0,52.0,85.0,110.0,35.0,0,0
GWL_0097,28.42863,77.04282,212.7,2.63,10.35,616.5,93.5,0,21,1,62.0,118.0,155.0,185.0,75.0,1,1
GWL_0098,28.42942,77.04137,213.1,3.07,9.78,637.2,92.0,0,21,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0099,28.42706,77.04201,213.0,0.22,9.63,620.9,96.1,0,21,1,70.0,125.0,160.0,218.0,85.0,1,1
GWL_0100,28.42794,77.04321,212.8,0.94,9.83,593.6,85.3,0,21,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0101,28.4482,77.09806,219.3,7.19,7.41,1141.0,69.9,1,18,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0102,28.44723,77.09968,218.7,4.47,8.02,1109.6,67.9,1,18,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0103,28.4469,77.09905,218.8,5.13,7.17,1099.5,64.2,1,18,1,32.0,58.0,74.0,89.0,40.0,0,0
GWL_0104,28.44839,77.097,219.2,6.88,7.26,1148.0,66.8,1,18,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0105,28.44717,77.09735,219.3,6.05,7.05,1166.3,62.3,1,18,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0106,28.44678,77.09727,219.2,4.15,7.04,1141.2,70.2,1,18,1,58.0,105.0,142.0,168.0,70.0,1,1
GWL_0107,28.4491,77.09734,219.1,4.55,7.1,1152.4,75.7,1,18,1,40.0,72.0,98.0,115.0,48.0,0,0
GWL_0108,28.44919,77.09799,219.1,5.61,7.76,1124.0,52.6,1,18,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0109,28.44732,77.09688,218.7,6.32,7.91,1122.2,60.3,1,18,1,62.0,118.0,155.0,185.0,75.0,1,1
GWL_0110,28.44847,77.0976,219.1,7.04,7.3,1135.3,78.5,1,18,1,58.0,105.0,142.0,168.0,70.0,1,1
GWL_0111,28.44931,77.09826,219.3,6.34,6.8,1151.2,66.2,1,18,1,50.0,92.0,120.0,145.0,60.0,1,1
GWL_0112,28.44712,77.0993,219.4,4.94,7.01,1149.7,77.4,1,18,1,75.0,135.0,180.0,240.0,90.0,1,2
GWL_0113,28.44752,77.09846,219.1,5.14,6.87,1129.0,77.0,1,18,1,70.0,125.0,160.0,218.0,85.0,1,1
GWL_0114,28.4485,77.0988,218.7,6.3,7.4,1110.3,51.4,1,18,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0115,28.4472,77.09901,218.7,5.35,7.41,1101.0,60.7,1,18,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0116,28.44886,77.09769,219.1,7.65,7.8,1152.8,56.4,1,18,1,40.0,72.0,98.0,115.0,48.0,0,0
GWL_0117,28.44679,77.09759,219.1,6.73,7.46,1136.9,73.1,1,18,1,62.0,118.0,155.0,185.0,75.0,1,1
GWL_0118,28.44888,77.09829,219.2,5.36,7.64,1164.0,70.8,1,18,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0119,28.44752,77.09857,218.9,9.05,7.08,1144.5,63.4,1,18,1,28.0,52.0,85.0,110.0,35.0,0,0
GWL_0120,28.44726,77.09843,219.3,8.44,7.44,1168.2,75.5,1,18,1,6.0,11.0,14.0,18.0,7.0,0,0
GWL_0121,28.39685,77.05427,210.0,3.46,11.44,351.6,46.2,0,25,1,4.0,8.0,12.0,15.0,5.0,0,0
GWL_0122,28.39888,77.05334,210.3,3.22,10.41,403.4,33.9,0,25,1,4.0,8.0,12.0,15.0,5.0,0,0
GWL_0123,28.39887,77.05571,210.6,1.76,11.12,434.8,34.6,0,25,1,45.0,82.0,115.0,132.0,55.0,0,0
GWL_0124,28.39859,77.05291,210.3,0.96,10.5,378.6,45.9,0,25,1,62.0,118.0,155.0,185.0,75.0,1,1
GWL_0125,28.3963,77.05375,210.2,2.81,10.74,392.0,51.6,0,25,1,6.0,11.0,14.0,18.0,7.0,0,0
GWL_0126,28.39795,77.0535,209.8,3.07,10.6,368.0,40.9,0,25,1,45.0,82.0,115.0,132.0,55.0,0,0
GWL_0127,28.39892,77.0552,210.6,1.36,11.03,417.1,39.4,0,25,1,4.0,8.0,12.0,15.0,5.0,0,0
GWL_0128,28.39798,77.05542,210.6,2.74,10.68,417.9,47.1,0,25,1,28.0,52.0,85.0,110.0,35.0,0,0
GWL_0129,28.39682,77.05313,210.1,1.15,10.76,367.8,26.3,0,25,1,75.0,135.0,180.0,240.0,90.0,1,2
GWL_0130,28.39738,77.05395,210.3,0.92,11.33,407.0,27.7,0,25,1,70.0,125.0,160.0,218.0,85.0,1,1
GWL_0131,28.39893,77.0542,210.3,0.75,11.37,384.8,53.3,0,25,1,32.0,58.0,74.0,89.0,40.0,0,0
GWL_0132,28.39805,77.05462,210.2,0.96,10.6,375.8,30.6,0,25,1,62.0,118.0,155.0,185.0,75.0,1,1
GWL_0133,28.39627,77.05571,210.5,3.26,11.29,399.5,36.9,0,25,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0134,28.39837,77.05489,209.9,2.89,10.76,350.5,41.1,0,25,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0135,28.39788,77.05454,209.9,3.1,10.81,346.7,51.7,0,25,1,28.0,52.0,85.0,110.0,35.0,0,0
GWL_0136,28.39897,77.05539,210.4,2.36,10.89,387.5,37.3,0,25,1,62.0,118.0,155.0,185.0,75.0,1,1
GWL_0137,28.39827,77.05429,209.9,0.93,11.22,344.5,50.5,0,25,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0138,28.39759,77.05424,210.3,2.92,10.73,402.6,42.0,0,25,1,50.0,92.0,120.0,145.0,60.0,1,1
GWL_0139,28.39849,77.05478,210.5,3.06,11.01,426.0,45.9,0,25,1,75.0,135.0,180.0,240.0,90.0,1,1
GWL_0140,28.39836,77.05328,210.5,3.08,10.33,425.5,28.9,0,25,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0141,28.43841,77.04083,212.7,8.58,9.93,579.8,208.6,1,15,1,50.0,92.0,120.0,145.0,60.0,1,1
GWL_0142,28.4393,77.03938,213.1,8.29,9.37,643.9,216.2,1,15,1,58.0,105.0,142.0,168.0,70.0,1,2
GWL_0143,28.4393,77.0414,212.7,7.78,9.49,591.5,221.2,1,15,1,70.0,125.0,160.0,218.0,85.0,1,2
GWL_0144,28.43844,77.04046,212.6,9.35,10.43,601.0,203.9,1,15,1,58.0,105.0,142.0,168.0,70.0,1,2
GWL_0145,28.43747,77.03957,213.0,7.76,9.75,615.9,229.9,1,15,1,62.0,118.0,155.0,185.0,75.0,1,2
GWL_0146,28.43789,77.04098,213.2,4.45,9.9,648.2,208.2,1,15,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0147,28.44025,77.03905,212.9,6.31,9.98,612.4,208.2,1,15,1,40.0,72.0,98.0,115.0,48.0,1,1
GWL_0148,28.44008,77.03929,212.8,7.58,9.75,622.6,214.2,1,15,1,40.0,72.0,98.0,115.0,48.0,1,1
GWL_0149,28.44001,77.04093,213.2,8.19,9.85,627.2,201.0,1,15,1,70.0,125.0,160.0,218.0,85.0,1,2
GWL_0150,28.43979,77.04004,212.7,7.77,9.85,587.5,214.7,1,15,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0151,28.43759,77.04035,212.8,5.71,9.84,588.5,202.2,1,15,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0152,28.43858,77.04004,213.1,7.82,10.12,644.7,201.2,1,15,1,75.0,135.0,180.0,240.0,90.0,1,3
GWL_0153,28.43813,77.04156,212.7,7.4,10.12,601.9,200.3,1,15,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0154,28.43838,77.04015,212.7,4.18,9.5,595.4,204.0,1,15,1,75.0,135.0,180.0,240.0,90.0,1,3
GWL_0155,28.4398,77.0392,212.7,7.5,10.13,580.8,228.1,1,15,1,28.0,52.0,85.0,110.0,35.0,1,1
GWL_0156,28.43953,77.04121,213.2,5.87,10.03,625.2,226.8,1,15,1,62.0,118.0,155.0,185.0,75.0,1,2
GWL_0157,28.43876,77.04053,213.0,4.45,9.36,614.9,204.8,1,15,1,58.0,105.0,142.0,168.0,70.0,1,2
GWL_0158,28.44033,77.03961,212.7,7.62,9.92,601.7,221.6,1,15,1,40.0,72.0,98.0,115.0,48.0,1,1
GWL_0159,28.44032,77.04055,212.8,4.4,9.41,598.3,213.9,1,15,1,50.0,92.0,120.0,145.0,60.0,1,1
GWL_0160,28.43963,77.03988,212.9,9.43,9.38,631.2,217.4,1,15,1,32.0,58.0,74.0,89.0,40.0,1,1
GWL_0161,28.51016,77.08002,217.7,1.59,7.7,1028.2,127.4,0,17,1,4.0,8.0,12.0,15.0,5.0,0,0
GWL_0162,28.50933,77.07927,217.5,2.62,7.63,1016.1,127.3,0,17,1,45.0,82.0,115.0,132.0,55.0,0,0
GWL_0163,28.50924,77.07811,217.8,0.8,8.23,1032.7,107.4,0,17,1,6.0,11.0,14.0,18.0,7.0,0,0
GWL_0164,28.51131,77.07874,217.4,1.39,8.13,985.5,111.7,0,17,1,32.0,58.0,74.0,89.0,40.0,0,0
GWL_0165,28.51161,77.07817,217.5,1.27,8.27,992.7,129.1,0,17,1,58.0,105.0,142.0,168.0,70.0,0,0
GWL_0166,28.51006,77.07811,217.1,0.76,8.18,967.0,124.9,0,17,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0167,28.50999,77.07815,217.5,2.53,7.67,994.2,101.1,0,17,1,58.0,105.0,142.0,168.0,70.0,0,0
GWL_0168,28.51091,77.07939,217.4,2.99,8.35,1002.4,126.0,0,17,1,4.0,8.0,12.0,15.0,5.0,0,0
GWL_0169,28.50932,77.07774,217.2,0.39,8.15,999.5,101.2,0,17,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0170,28.50907,77.07876,217.7,1.24,7.93,1006.2,104.5,0,17,1,75.0,135.0,180.0,240.0,90.0,0,0
GWL_0171,28.51166,77.0803,217.0,3.34,8.34,979.7,113.6,0,17,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0172,28.51025,77.07887,217.5,0.66,7.53,999.8,121.1,0,17,1,32.0,58.0,74.0,89.0,40.0,0,0
GWL_0173,28.50931,77.07942,217.8,0.51,8.05,1030.8,126.0,0,17,1,75.0,135.0,180.0,240.0,90.0,0,0
GWL_0174,28.50923,77.07948,217.7,3.32,8.1,1024.4,118.5,0,17,1,75.0,135.0,180.0,240.0,90.0,0,0
GWL_0175,28.51131,77.07911,217.0,3.27,8.39,972.1,106.5,0,17,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0176,28.51068,77.07858,217.5,0.55,8.16,1027.5,101.4,0,17,1,50.0,92.0,120.0,145.0,60.0,0,0
GWL_0177,28.51163,77.07862,217.7,2.78,7.99,1034.0,126.4,0,17,1,40.0,72.0,98.0,115.0,48.0,0,0
GWL_0178,28.50991,77.07838,217.5,2.87,8.26,1019.4,113.1,0,17,1,70.0,125.0,160.0,218.0,85.0,0,0
GWL_0179,28.51115,77.07776,217.4,0.22,7.86,993.7,111.9,0,17,1,40.0,72.0,98.0,115.0,48.0,0,0
GWL_0180,28.51079,77.07857,217.4,0.98,7.91,988.1,102.2,0,17,1,6.0,11.0,14.0,18.0,7.0,0,0
GWL_0181,28.47741,77.0269,214.9,1.73,8.92,801.0,100.6,0,16,1,45.0,82.0,115.0,132.0,55.0,0,0
GWL_0182,28.47704,77.02498,214.7,1.45,9.02,772.7,101.0,0,16,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0183,28.47742,77.02719,215.1,2.57,9.42,784.2,90.9,0,16,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0184,28.47562,77.02684,215.1,1.0,9.39,785.9,113.0,0,16,1,32.0,58.0,74.0,89.0,40.0,0,0
GWL_0185,28.47665,77.0252,214.8,1.05,8.86,770.3,109.1,0,16,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0186,28.47722,77.02583,214.9,2.56,8.81,783.0,88.7,0,16,1,40.0,72.0,98.0,115.0,48.0,0,0
GWL_0187,28.47614,77.02694,214.5,1.93,9.41,736.8,102.0,0,16,1,4.0,8.0,12.0,15.0,5.0,0,0
GWL_0188,28.47637,77.02779,214.8,2.86,9.13,759.7,104.0,0,16,1,70.0,125.0,160.0,218.0,85.0,0,0
GWL_0189,28.47845,77.0267,215.1,3.12,8.69,792.0,103.3,0,16,1,4.0,8.0,12.0,15.0,5.0,0,0
GWL_0190,28.47683,77.02742,215.1,1.37,8.7,814.7,93.2,0,16,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0191,28.47807,77.02617,214.9,0.52,9.16,784.6,102.6,0,16,1,28.0,52.0,85.0,110.0,35.0,0,0
GWL_0192,28.4761,77.02711,215.1,0.92,8.56,784.4,104.3,0,16,1,32.0,58.0,74.0,89.0,40.0,0,0
GWL_0193,28.47742,77.02654,214.6,1.49,9.25,760.9,114.6,0,16,1,70.0,125.0,160.0,218.0,85.0,0,0
GWL_0194,28.47601,77.02699,214.7,1.61,9.34,777.2,114.7,0,16,1,75.0,135.0,180.0,240.0,90.0,1,1
GWL_0195,28.47777,77.02664,214.6,0.46,8.75,776.8,90.8,0,16,1,58.0,105.0,142.0,168.0,70.0,0,0
GWL_0196,28.47657,77.02558,214.7,0.43,9.14,752.2,109.0,0,16,1,50.0,92.0,120.0,145.0,60.0,0,0
GWL_0197,28.4763,77.02652,215.1,2.35,8.99,796.5,95.0,0,16,1,45.0,82.0,115.0,132.0,55.0,0,0
GWL_0198,28.47761,77.02788,214.9,2.04,9.27,785.1,86.8,0,16,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0199,28.47729,77.02777,214.5,2.48,8.9,753.9,87.9,0,16,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0200,28.47695,77.02717,214.7,2.39,9.42,786.6,92.0,0,16,1,70.0,125.0,160.0,218.0,85.0,0,0
GWL_0201,28.4712,77.01526,214.3,3.26,9.32,749.2,145.6,0,14,1,40.0,72.0,98.0,115.0,48.0,0,0
GWL_0202,28.47187,77.01507,214.1,0.62,9.69,729.8,151.3,0,14,1,4.0,8.0,12.0,15.0,5.0,0,0
GWL_0203,28.47011,77.01571,213.7,1.39,9.11,702.0,146.6,0,14,1,58.0,105.0,142.0,168.0,70.0,0,0
